frameno,left,top,right,bottom
66,868.3,108.57,878.4,119.98
67,869.15,110.89,879.25,122.3
68,869.99,113.2,880.1,124.61
69,870.84,115.52,880.95,126.92
70,871.69,117.83,881.79,129.24
71,872.54,120.14,882.64,131.55
72,873.38,122.46,883.49,133.87
73,874.23,124.77,884.33,136.18
74,875.08,127.09,885.18,138.5
75,875.92,129.4,886.03,140.81
76,876.77,131.72,886.88,143.12
77,877.75,134.39,887.92,145.8
78,878.73,137.06,888.96,148.48
79,879.71,139.73,890.0,151.16
80,880.68,142.41,891.05,153.83
81,881.66,145.08,892.09,156.51
82,882.64,147.75,893.13,159.19
83,883.62,150.43,894.17,161.87
84,884.6,153.1,895.22,164.54
85,885.57,155.77,896.26,167.22
86,886.55,158.45,897.3,169.9
87,887.59,161.12,898.44,172.67
88,888.64,163.79,899.58,175.44
89,889.68,166.46,900.72,178.21
90,890.72,169.14,901.86,180.98
91,891.77,171.81,903.0,183.75
92,892.81,174.48,904.14,186.52
93,893.85,177.16,905.28,189.29
94,894.9,179.83,906.42,192.06
95,895.94,182.5,907.56,194.83
96,896.98,185.17,908.7,197.6
97,898.05,188.11,910.07,200.71
98,899.11,191.05,911.44,203.82
99,900.18,193.99,912.81,206.93
100,901.24,196.92,914.18,210.04
101,902.31,199.86,915.55,213.15
102,903.37,202.8,916.92,216.26
103,904.43,205.74,918.29,219.37
104,905.5,208.67,919.66,222.48
105,906.56,211.61,921.03,225.59
106,907.63,214.55,922.4,228.7
107,908.96,217.56,923.74,231.72
108,910.3,220.58,925.07,234.73
109,911.64,223.6,926.41,237.75
110,912.97,226.61,927.74,240.77
111,914.31,229.63,929.08,243.78
112,915.64,232.65,930.42,246.8
113,916.98,235.66,931.75,249.82
114,918.32,238.68,933.09,252.83
115,919.65,241.7,934.42,255.85
116,920.99,244.71,935.76,258.87
117,922.5,248.81,937.27,262.96
118,924.0,252.9,938.78,267.05
119,925.51,257.0,940.28,271.15
120,927.02,261.09,941.79,275.24
121,928.53,265.18,943.3,279.34
122,930.04,269.28,944.81,283.43
123,931.55,273.37,946.32,287.52
124,933.05,277.47,947.83,291.62
125,934.56,281.56,949.33,295.71
126,936.07,285.65,950.84,299.81
127,937.97,291.3,952.96,305.7
128,939.86,296.94,955.07,311.6
129,941.76,302.59,957.19,317.5
130,943.65,308.23,959.31,323.4
131,945.55,313.88,961.42,329.3
132,947.45,319.53,963.54,335.2
133,949.34,325.17,965.65,341.1
134,951.24,330.82,967.77,347.0
135,953.14,336.46,969.88,352.9
136,955.03,342.11,972.0,358.8
137,956.68,347.23,973.66,364.14
138,958.34,352.35,975.31,369.49
139,959.99,357.47,976.97,374.83
140,961.64,362.59,978.63,380.17
141,963.29,367.71,980.29,385.51
142,964.94,372.84,981.94,390.86
143,966.6,377.96,983.6,396.2
144,966.6,377.96,983.6,396.2
